"","SampleID","Pi"
"1","D75046",0.0176918271680063
"2","D75054",0.0162820106679026
"3","D75064",0.0144071983824438
"4","D75066",0.0134798159504129
"5","D75077",0.0109621979277092
"6","D75079",0.0163254472344709
"7","D75150",0.00731863170690723
"8","D75173",0.0171427503977359
"9","D75201",0.0190804773552178
"10","D75211",0.0131568799191391
"11","D75224",0.00799557161852103
"12","D75239",0.011219799475952
"13","D75240",0.00907713264306849
"14","D75251",0.00839778060387354
"15","D75290",0.0116013216630723
"16","D75292",0.0125345104718248
"17","D75315",0.0149930521950119
"18","D75327",0.0181662429576284
"19","D75338",0.00858822712589469
"20","D75366",0.0157046949080245
"21","D75383",0.0147785981515052
